text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
.@ProfMJCleveland That's because you have #republicans with no backbone. Ask the two canvassers who decided to go a… https://t.co/kJKHzsq26Z,FALSE,0,ProfMJCleveland,2020-11-18T19:29:31Z,TRUE,1329091882408763394,1329144726612832257,765255265503543296,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",JimmyDoggs1,0,FALSE,FALSE,NA,NA
@genesimmons Why is it I am hearing all our elected officials getting covid19 are #GOP #Republicans ???,FALSE,0,genesimmons,2020-11-18T19:28:48Z,FALSE,1328783978929655808,1329144546614259713,14401698,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AlabamaByrd,0,FALSE,FALSE,NA,NA
"Eventually this presidency, the 2020 elections and the Covid plague will be behind us.  But Americans who lived thr… https://t.co/H9oYi0MZr3",FALSE,0,NA,2020-11-18T19:28:05Z,TRUE,NA,1329144365311201282,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wyliecattoo,0,FALSE,FALSE,NA,NA
@CouncilorHart is trying to make it illegal to feed homeless people at a park. In a time where millions are being e… https://t.co/HCrvdl8jjR,FALSE,0,CouncilorHart,2020-11-18T19:27:53Z,TRUE,NA,1329144312257519622,1150874854385737738,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChipTerry1,0,FALSE,FALSE,NA,NA
RT @OPruntyPoetess: @ReverendWarnock @MeidasTouch Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in th…,FALSE,0,NA,2020-11-18T19:27:04Z,FALSE,NA,1329144110272315392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",annette88471615,2,TRUE,FALSE,NA,NA
"@VP is headed to #Georgia.

For the love of all things good, after seeing how corrupt the #GOP is, please,… https://t.co/c5IXIMYt4F",FALSE,0,VP,2020-11-18T19:27:04Z,TRUE,NA,1329144107181035520,818910970567344128,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",CherrieHomes,0,FALSE,FALSE,NA,NA
"#Republicans are shit. #ComplicitCorruptGOP and to @DonaldJTrumpJr @EricTrump @IvankaTrump , Jon has a message for… https://t.co/3DuBV6ttk6",FALSE,0,NA,2020-11-18T19:27:03Z,TRUE,NA,1329144103087579139,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lj_myblackeye,0,FALSE,FALSE,NA,NA
@washingtonpost #Republicans believe in #ConspiracyTheories.,FALSE,0,washingtonpost,2020-11-18T19:26:53Z,FALSE,1329143694642065409,1329144062348304389,2467791,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jay_jagannathan,0,FALSE,FALSE,NA,NA
"#TrumpSupporters #ListenToThis #Republicans #FoodForThought 

Those who cannot learn from history are doomed to rep… https://t.co/5ijkmzRdMG",FALSE,0,NA,2020-11-18T19:25:58Z,TRUE,NA,1329143831007268868,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnthScar,0,FALSE,FALSE,NA,NA
RT @renaitre8: Yup @RepBrianFitz had no interest in election security. Even he knows #Republicans need to cheat to win. It's why #GrifterIn…,FALSE,0,NA,2020-11-18T19:24:12Z,FALSE,NA,1329143388151697411,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GlennBeasley19,10,TRUE,FALSE,NA,NA
"RT @RamzyBaroud: The demotion of a country that has constantly prided itself, not only on being democratic but also on championing democrac…",FALSE,0,NA,2020-11-18T19:23:48Z,FALSE,NA,1329143285869404160,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UtopiaLibera,3,TRUE,FALSE,NA,NA
"The demotion of a country that has constantly prided itself, not only on being democratic but also on championing d… https://t.co/P2RK79f38d",FALSE,5,NA,2020-11-18T19:23:01Z,TRUE,NA,1329143090712555523,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",RamzyBaroud,3,FALSE,FALSE,NA,NA
"RT @EBGforM4A: None of the politicians, #Republicans and #Democrats are doing anything about #COVID19 as Americans sicken and die.The worst…",FALSE,0,NA,2020-11-18T19:22:23Z,FALSE,NA,1329142930112647169,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jericschulze,1,TRUE,FALSE,NA,NA
Shame on @dougducey  shame on all #republicans who continue this bs. https://t.co/OLGbtwdKYE,FALSE,3,NA,2020-11-18T19:22:10Z,FALSE,NA,1329142876744286210,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",DemocratinAZ,0,FALSE,FALSE,NA,NA
"As COVID Deaths Soar, El Paso at Breaking Point with Hospitals &amp; Mobile Morgues Filling Up: https://t.co/Cpin59B3Y8… https://t.co/pcDKfJYoPX",FALSE,0,NA,2020-11-18T19:22:08Z,TRUE,NA,1329142867856592896,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",OhmsLaw78,0,FALSE,FALSE,NA,NA
#Wisconsin #Republicans really important for business through the video for work in video games in #Racine #WI… https://t.co/EESUCNftme,FALSE,0,NA,2020-11-18T19:21:03Z,TRUE,NA,1329142595650543618,NA,"<a href=""https://twitter.com/Racinescanner"" rel=""nofollow"">Racine Scammer</a>",RacineScammer,0,FALSE,FALSE,NA,NA
New Orleans has the lowest positivity rate in the state #Democrats BUT it is up &amp; neighboring Jeff Parrish… https://t.co/otUBVFszfo,FALSE,1,NA,2020-11-18T19:21:01Z,TRUE,NA,1329142586620194817,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",truthseekingiam,0,FALSE,FALSE,NA,NA
@LLinWood #Republicans have much more class than that! #matureconservatives #antifa,FALSE,0,LLinWood,2020-11-18T19:20:35Z,FALSE,1329136225115058181,1329142477778018309,187680645,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MiKiPuppies,0,FALSE,FALSE,NA,NA
RT @OPruntyPoetess: @MeidasTouch Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff…,FALSE,0,NA,2020-11-18T19:20:27Z,FALSE,NA,1329142442508038144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mostra4u,8,TRUE,FALSE,NA,NA
"RT @V_Mannello: Abroad as well, without being #republicans and, much less #democratic 😎 https://t.co/MS6lfG6PJo https://t.co/NQDEUVcKBS",FALSE,0,NA,2020-11-18T19:20:09Z,FALSE,NA,1329142368176644099,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",arcobalenietnei,1,TRUE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:20:06Z,FALSE,NA,1329142355115597829,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lowkeybukowski,208,TRUE,FALSE,NA,NA
You daily reminder from @jayrosen_nyu: The #GOP REQUIRES the American people live in a fact-free reality to win ele… https://t.co/23iKZ8OdqA,FALSE,1,NA,2020-11-18T19:19:29Z,TRUE,NA,1329142199833997312,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SteveBrant,1,FALSE,FALSE,NA,NA
RT @OPruntyPoetess: @MeidasTouch Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff…,FALSE,0,NA,2020-11-18T19:19:05Z,FALSE,NA,1329142101045518336,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TheTrumpReaper,8,TRUE,FALSE,NA,NA
RT @renaitre8: Yup @RepBrianFitz had no interest in election security. Even he knows #Republicans need to cheat to win. It's why #GrifterIn…,FALSE,0,NA,2020-11-18T19:18:46Z,FALSE,NA,1329142019621576706,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",VinVinPhilly,10,TRUE,FALSE,NA,NA
"Poor Babies!  😂🤣😂🤣

#TrumpCollapse #MAGAts #Republicans #Maga #BidenHarris #leftisbest #Trumplicans

https://t.co/9ZPxtJbgZb",FALSE,1,NA,2020-11-18T19:18:25Z,FALSE,NA,1329141934015848448,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ajdube1975,0,FALSE,FALSE,NA,NA
"US Coronavirus: 1,707 Covid-19 deaths were reported in 1 day. That's the highest daily death toll in 6 months… https://t.co/nNm7ozpbgy",FALSE,0,NA,2020-11-18T19:17:48Z,TRUE,NA,1329141776855273472,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",UwuaMan,0,FALSE,FALSE,NA,NA
@thehill When did McEnany make her transformation into a digital serial killer? I knew it would be a quick process… https://t.co/eK8ZTPOtTF,FALSE,0,thehill,2020-11-18T19:17:47Z,TRUE,1329078688822878212,1329141772849606657,1917731,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mikeWGrilli,0,FALSE,FALSE,NA,NA
"@ProjectLincoln But sadly, half of all @GOP #Republicans will still believe he won the election 🗳 #Delusion #DelusionalDonald",FALSE,0,ProjectLincoln,2020-11-18T19:17:00Z,FALSE,1329128375823327236,1329141575566364672,1205226529455632385,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SomaPsycheYogi,0,FALSE,FALSE,NA,NA
RT @thejoshuablog: Via @crooksandliars: Whoops! Transition Obstructionist Emily Murphy Is Job Hunting For 2021 https://t.co/2ljQdqvlNY | #t…,FALSE,0,NA,2020-11-18T19:16:32Z,FALSE,NA,1329141458901733378,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",thejoshuablog,2,TRUE,FALSE,NA,NA
"Abroad as well, without being #republicans and, much less #democratic 😎 https://t.co/MS6lfG6PJo https://t.co/NQDEUVcKBS",FALSE,1,NA,2020-11-18T19:16:10Z,FALSE,NA,1329141365545046018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",V_Mannello,1,FALSE,FALSE,NA,NA
"@DailyMail Abroad as well, without being #republicans and, much less #democratic 😎 https://t.co/MS6lfG6PJo",FALSE,0,DailyMail,2020-11-18T19:15:52Z,FALSE,1329123732720324608,1329141288499863553,380285402,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",V_Mannello,0,FALSE,FALSE,NA,NA
RT @oreo078073: @AdamInHTownTX @RashidaTlaib They can’t do that. If they did it would show that the Dems are the ones fucking w/ppls lives…,FALSE,0,NA,2020-11-18T19:15:34Z,FALSE,NA,1329141214591942657,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",CoachAleyda,1,TRUE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:14:50Z,FALSE,NA,1329141028557901825,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobGeorge,208,TRUE,FALSE,NA,NA
#Republicans https://t.co/x6rQXERZD7,FALSE,0,NA,2020-11-18T19:14:28Z,FALSE,NA,1329140938384547841,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TrumpMustExpire,0,FALSE,FALSE,NA,NA
Half of #Republicans say #Biden won because of a 'rigged' election: Reuters/Ipsos poll | Article [AMP] | Reuters https://t.co/zkFaqkQZqS,FALSE,1,NA,2020-11-18T19:14:21Z,FALSE,NA,1329140908135165956,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JeffOstach,0,FALSE,FALSE,NA,NA
RT @OPruntyPoetess: @MeidasTouch Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff…,FALSE,0,NA,2020-11-18T19:13:57Z,FALSE,NA,1329140808214188033,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",melformosa,8,TRUE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:12:38Z,FALSE,NA,1329140478319714304,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MarcGitar1,208,TRUE,FALSE,NA,NA
"Is it too early to put up a Christmas tree?

.
.
.
 #politicalcompass #minecraft #gamers #politigram #ancaps #ancom… https://t.co/X13hYmXFun",FALSE,1,NA,2020-11-18T19:12:30Z,TRUE,NA,1329140442949185538,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",thepolicompass,0,FALSE,FALSE,NA,NA
"The GOP is trash.
#GOP 
#Republicans 
#Trump 
#Trump2020 
#TrumpTerroism 
#Conservative 
#MAGA 
#Biden https://t.co/8DrvMQkUw9",FALSE,1,NA,2020-11-18T19:11:48Z,FALSE,NA,1329140265337065472,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",politics107,0,FALSE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:11:33Z,FALSE,NA,1329140202007375872,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MedAlex69,208,TRUE,FALSE,NA,NA
"@jonvoight : this needs to go #viral
It gave me goosebumps. 
Leftist are #evil 
It's not over, until the last punch… https://t.co/yVhLfApmpM",FALSE,0,jonvoight,2020-11-18T19:11:30Z,TRUE,NA,1329140191676805121,759081003168112640,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlessiaDhakpa,0,FALSE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:11:23Z,FALSE,NA,1329140163923091456,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JamesTreakle,208,TRUE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:10:58Z,FALSE,NA,1329140057949630465,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CMargaronis,208,TRUE,FALSE,NA,NA
"Even then, anecdotal evidence indicates that some still don’t believe that the illness their loved one is suffering… https://t.co/sWuK6jSKDq",FALSE,0,NA,2020-11-18T19:10:48Z,TRUE,NA,1329140013737472000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MichaelJGolub,0,FALSE,FALSE,NA,NA
"@A_Clarion_Call @Cynthia61890872 @saraecook @morgfair Even then, anecdotal evidence indicates that some still don’t… https://t.co/5kzLrBE9m9",FALSE,0,A_Clarion_Call,2020-11-18T19:10:39Z,TRUE,1328869830771036163,1329139978006237185,16178341,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MichaelJGolub,0,FALSE,FALSE,NA,NA
"For #Republicans,

It's really sad that your elected officials can't find a platform to run on.  I wish y'all would… https://t.co/kirQoyki7O",FALSE,0,NA,2020-11-18T19:10:34Z,TRUE,NA,1329139956669886464,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NSFPolitics,0,FALSE,FALSE,NA,NA
RT @IAmSophiaNelson: I interned in that 1992 campaign for #GHWBush he was such a class act. Such a gentleman. He took that loss hard. But h…,FALSE,0,NA,2020-11-18T19:10:19Z,FALSE,NA,1329139895076597760,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",IAmSophiaNelson,208,TRUE,FALSE,NA,NA
Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff - it is i… https://t.co/6tPQlYEVqf,FALSE,0,NA,2020-11-18T19:09:19Z,TRUE,NA,1329139639995822082,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",OPruntyPoetess,0,FALSE,FALSE,NA,NA
@funder Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff -… https://t.co/JSYtZbVFcC,FALSE,7,funder,2020-11-18T19:09:07Z,TRUE,1329137898986332161,1329139591941672961,14247236,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",OPruntyPoetess,1,FALSE,FALSE,NA,NA
@CopingMAGA @williamlegate Good now trump is helping turn off ALL @GOP voters with his claim of fraud ! Hahahahaha!… https://t.co/do0YNX94aN,FALSE,0,CopingMAGA,2020-11-18T19:08:58Z,TRUE,1329137300056514562,1329139552758403072,1324389533186547714,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TamRNCamms,0,FALSE,FALSE,NA,NA
@UniteBlue #UniteBlue @UniteWomenOrg @IndivisibleTeam @TNTweeters @IndivisibleNet #TheResistance #Indivisible #p2… https://t.co/qxWdiGQI63,FALSE,0,UniteBlue,2020-11-18T19:07:45Z,TRUE,NA,1329139248000331780,360285166,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dierdrelewis,0,FALSE,FALSE,NA,NA
"Because there is a war against white people, especially white men (unless they're a puppet —— ahem) #Democrat… https://t.co/J9EqDqdgEZ",FALSE,0,NA,2020-11-18T19:07:38Z,TRUE,NA,1329139216446418944,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bear89007362,0,FALSE,FALSE,NA,NA
"#Half of #Republicans say #Biden #WON because of a ‘#rigged’ #election 

Hard to believe that HALF of Republicans a… https://t.co/4XIR1ylfL1",FALSE,1,NA,2020-11-18T19:06:49Z,TRUE,NA,1329139013081436160,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kegan05,0,FALSE,FALSE,NA,NA
#AZFBWebinarWednesdays Who else is surprised that the #AZLegislature is still held by #Republicans ... comes down to #voter behavior in #AZ,FALSE,0,NA,2020-11-18T19:06:48Z,FALSE,NA,1329139008878895106,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Cottonaggie,0,FALSE,FALSE,NA,NA
"RT @Simplylisette: Any more ""recounts"" of our elections should be across the board recounts of ALL candidates. #REPUBLICANS who ""won"" inclu…",FALSE,0,NA,2020-11-18T19:05:43Z,FALSE,NA,1329138733900296195,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dragontailscomp,1,TRUE,FALSE,NA,NA
@thehill #EmotionalABUSE has been absolutely perpetuated by the soon to be former occupant of the #WhiteHouse… https://t.co/DUBGXtZCNe,FALSE,0,thehill,2020-11-18T19:05:33Z,TRUE,1329133797477134344,1329138692418637825,1917731,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cd_roe,0,FALSE,FALSE,NA,NA
"None of the politicians, #Republicans and #Democrats are doing anything about #COVID19 as Americans sicken and die.… https://t.co/XMP5jMDS8S",FALSE,3,NA,2020-11-18T19:04:25Z,TRUE,NA,1329138408996925441,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",EBGforM4A,1,FALSE,FALSE,NA,NA
RT @OPruntyPoetess: @MeidasTouch Dear #Georgia America needs YOU - we must pull together and defeat the #Republicans in the #GeorgiaRunOff…,FALSE,0,NA,2020-11-18T19:04:09Z,FALSE,NA,1329138340235517959,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tfmartintf,8,TRUE,FALSE,NA,NA
"Grab him by the pussy...

#TrumpMeltdown #TrumpTerroism #Election2020results #ELECTIONINTERFERENCE #Elections2020… https://t.co/qeR1K0IK2c",FALSE,3,NA,2020-11-18T19:02:22Z,TRUE,NA,1329137892493565952,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",WyattLozano,0,FALSE,FALSE,NA,NA
"Republicans are blaming democrats for uncounted ballots, yet the GOP are the ones who made fake drop ballot boxes.
#trump #republicans",FALSE,0,NA,2020-11-18T19:02:15Z,FALSE,NA,1329137862508363776,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BaddingBaddoo,0,FALSE,FALSE,NA,NA
"If #Republicans are the ""worker's party"", then why did my state's Republican Senate cut Unemployment Insurance in h… https://t.co/ZGrpWnYTm0",FALSE,0,NA,2020-11-18T19:02:14Z,TRUE,NA,1329137861183098888,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TaylorMadeWrite,0,FALSE,FALSE,NA,NA
